Movies_x,Year,Rank,Movie Rating,Movie ID,Genre,Rated,Actors,Directors,Gross
      Captain America,1990,70,3.7,tt0103923,"Action, Adventure, Sci-Fi",PG-13,"Matt Salinger, Ronny Cox, Ned Beatty",Albert Pyun,N/A
      The NeverEnding Story III,1994,71,3.7,tt0110647,"Adventure, Comedy, Family",G,"Jason James Richter, Melody Kay, Jack Black",Peter MacDonald,N/A
      Spice World,1997,72,3.7,tt0120185,"Comedy, Family, Music",PG,"Mel B, Emma Bunton, Melanie C",Bob Spiers,"$29,342,592"
      Police Academy: Mission to Moscow,1994,73,3.7,tt0110857,"Comedy, Crime",PG,"G.W. Bailey, George Gaynes, Michael Winslow",Alan Metter,"$126,247"
      Crossroads,2002,74,3.7,tt0275022,"Comedy, Drama, Romance",PG-13,"Britney Spears, Anson Mount, Zoe Saldana",Tamra Davis,"$37,191,304"
      The Room,2003,75,3.7,tt0368226,Drama,R,"Tommy Wiseau, Juliette Danielle, Greg Sestero",Tommy Wiseau,"$549,602"
      Fifty Shades of Black,2016,76,3.7,tt4667094,Comedy,R,"Marlon Wayans, Kali Hawk, Fred Willard",Michael Tiddes,"$11,686,940"
      Dabangg 3,2019,77,3.7,tt7059844,"Action, Comedy, Crime",Not Rated,"Salman Khan, Sudeep, Sonakshi Sinha",Prabhu Deva,"$202,000"
      Black Christmas,2019,78,3.8,tt10481868,"Horror, Mystery, Thriller",PG-13,"Imogen Poots, Aleyse Shannon, Lily Donoghue",Sophia Takal,"$10,429,730"
      Mortal Kombat: Annihilation,1997,79,3.8,tt0119707,"Action, Adventure, Fantasy",PG-13,"Robin Shou, Talisa Soto, James Remar",John R. Leonetti,"$35,927,406"
      Dragon Wars: D-War,2007,80,3.8,tt0372873,"Action, Drama, Fantasy",PG-13,"Jason Behr, Amanda Brooks, Robert Forster",Hyung-rae Shim,"$10,977,721"
      Jaws 3-D,1983,81,3.8,tt0085750,"Adventure, Horror, Thriller",PG,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale",Joe Alves,"$45,517,055"
      Mac and Me,1988,82,3.8,tt0095560,"Adventure, Family, Fantasy",PG,"Christine Ebersole, Jonathan Ward, Tina Caspary",Stewart Raffill,"$6,424,112"
      Batman & Robin,1997,83,3.8,tt0118688,"Action, Sci-Fi",PG-13,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell",Joel Schumacher,"$107,353,792"
      I Know Who Killed Me,2007,84,3.8,tt0897361,"Crime, Mystery, Thriller",R,"Lindsay Lohan, Julia Ormond, Neal McDonough",Chris Sivertson,"$7,498,716"
      The Adventures of Sharkboy and Lavagirl 3-D,2005,85,3.8,tt0424774,"Action, Adventure, Comedy",PG,"Cayden Boyd, George Lopez, Kristin Davis",Robert Rodriguez,"$39,177,684"
      The Wicker Man,2006,86,3.8,tt0450345,"Horror, Mystery, Thriller",PG-13,"Nicolas Cage, Ellen Burstyn, Leelee Sobieski",Neil LaBute,"$23,649,127"
      Superman IV: The Quest for Peace,1987,87,3.8,tt0094074,"Action, Adventure, Sci-Fi",PG,"Christopher Reeve, Gene Hackman, Margot Kidder",Sidney J. Furie,"$15,681,020"
      The Fog,2005,88,3.8,tt0432291,"Horror, Mystery",PG-13,"Tom Welling, Maggie Grace, Selma Blair",Rupert Wainwright,"$29,550,869"
      Dungeons & Dragons,2000,89,3.8,tt0190374,"Action, Adventure, Fantasy",PG-13,"Justin Whalin, Jeremy Irons, Zoe McLellan",Courtney Solomon,"$15,391,970"
      Piranha 3DD,2012,90,3.8,tt1714203,"Comedy, Horror, Sci-Fi",R,"Danielle Panabaker, Ving Rhames, David Hasselhoff",John Gulager,"$376,512"
      Teen Wolf Too,1987,91,3.8,tt0094118,"Comedy, Fantasy",PG,"Jason Bateman, Kim Darby, John Astin",Christopher Leitch,"$7,888,703"
      Recep Ivedik 5,2017,92,3.8,tt6439558,Comedy,N/A,"Sahan Gökbakar, Orkan Varan, Deniz Ceylan",Togan Gökbakar,N/A
      The Hungover Games,2014,93,3.9,tt3138104,"Adventure, Comedy, Fantasy",R,"Ross Nathan, Sam Pancake, Ben Begley",Josh Stolberg,N/A
      The Flintstones in Viva Rock Vegas,2000,94,3.9,tt0158622,"Comedy, Family, Romance",PG,"Mark Addy, Stephen Baldwin, Kristen Johnston",Brian Levant,"$35,268,275"
      The Love Guru,2008,95,3.9,tt0811138,"Comedy, Romance, Sport",PG-13,"Mike Myers, Jessica Alba, Romany Malco",Marco Schnabel,"$32,235,793"
      Street Fighter: The Legend of Chun-Li,2009,96,3.9,tt0891592,"Action, Crime, Fantasy",PG-13,"Kristin Kreuk, Neal McDonough, Michael Clarke Duncan",Andrzej Bartkowiak,"$8,742,261"
      Stan Helsing,2009,97,3.9,tt1185266,"Comedy, Fantasy, Horror",R,"Steve Howey, Diora Baird, Kenan Thompson",Bo Zenga,N/A
      In the Name of the King: A Dungeon Siege Tale,2007,98,3.9,tt0460780,"Action, Adventure, Fantasy",PG-13,"Jason Statham, Ron Perlman, Ray Liotta",Uwe Boll,"$4,775,656"
      The Human Centipede II (Full Sequence),2011,99,3.9,tt1530509,Horror,Not Rated,"Laurence R. Harvey, Ashlynn Yennie, Maddi Black",Tom Six,"$141,877"
      S. Darko,2009,100,3.9,tt1231277,"Drama, Mystery, Sci-Fi",R,"Daveigh Chase, Briana Evigan, James Lafferty",Chris Fisher,N/A
