movie_id,movies,rank,movie_rating,rated,year,genre,actors,directors,gross
tt0424774,      The Adventures of Sharkboy and Lavagirl 3-D,85,3.8,PG,2005,"Action, Adventure, Comedy","Cayden Boyd, George Lopez, Kristin Davis",Robert Rodriguez,"$39,177,684"
tt0450345,      The Wicker Man,86,3.8,PG-13,2006,"Horror, Mystery, Thriller","Nicolas Cage, Ellen Burstyn, Leelee Sobieski",Neil LaBute,"$23,649,127"
tt0094074,      Superman IV: The Quest for Peace,87,3.8,PG,1987,"Action, Adventure, Sci-Fi","Christopher Reeve, Gene Hackman, Margot Kidder",Sidney J. Furie,"$15,681,020"
tt0432291,      The Fog,88,3.8,PG-13,2005,"Horror, Mystery","Tom Welling, Maggie Grace, Selma Blair",Rupert Wainwright,"$29,550,869"
tt0190374,      Dungeons & Dragons,89,3.8,PG-13,2000,"Action, Adventure, Fantasy","Justin Whalin, Jeremy Irons, Zoe McLellan",Courtney Solomon,"$15,391,970"
tt1714203,      Piranha 3DD,90,3.8,R,2012,"Comedy, Horror, Sci-Fi","Danielle Panabaker, Ving Rhames, David Hasselhoff",John Gulager,"$376,512"
tt0094118,      Teen Wolf Too,91,3.8,PG,1987,"Comedy, Fantasy","Jason Bateman, Kim Darby, John Astin",Christopher Leitch,"$7,888,703"
tt6439558,      Recep Ivedik 5,92,3.8,N/A,2017,Comedy,"Sahan Gökbakar, Orkan Varan, Deniz Ceylan",Togan Gökbakar,N/A
tt3138104,      The Hungover Games,93,3.9,R,2014,"Adventure, Comedy, Fantasy","Ross Nathan, Sam Pancake, Ben Begley",Josh Stolberg,N/A
tt0158622,      The Flintstones in Viva Rock Vegas,94,3.9,PG,2000,"Comedy, Family, Romance","Mark Addy, Stephen Baldwin, Kristen Johnston",Brian Levant,"$35,268,275"
tt0811138,      The Love Guru,95,3.9,PG-13,2008,"Comedy, Romance, Sport","Mike Myers, Jessica Alba, Romany Malco",Marco Schnabel,"$32,235,793"
tt0891592,      Street Fighter: The Legend of Chun-Li,96,3.9,PG-13,2009,"Action, Crime, Fantasy","Kristin Kreuk, Neal McDonough, Michael Clarke Duncan",Andrzej Bartkowiak,"$8,742,261"
tt1185266,      Stan Helsing,97,3.9,R,2009,"Comedy, Fantasy, Horror","Steve Howey, Diora Baird, Kenan Thompson",Bo Zenga,N/A
tt0460780,      In the Name of the King: A Dungeon Siege Tale,98,3.9,PG-13,2007,"Action, Adventure, Fantasy","Jason Statham, Ron Perlman, Ray Liotta",Uwe Boll,"$4,775,656"
tt1530509,      The Human Centipede II (Full Sequence),99,3.9,Not Rated,2011,Horror,"Laurence R. Harvey, Ashlynn Yennie, Maddi Black",Tom Six,"$141,877"
tt1231277,      S. Darko,100,3.9,R,2009,"Drama, Mystery, Sci-Fi","Daveigh Chase, Briana Evigan, James Lafferty",Chris Fisher,N/A
